學歷	年份	住宿及餐飲業	資訊及通訊傳播業	金融及保險業	專業、科學及技術服務業	教育服務業	醫療保健服務業
專科_女	102	"22,665"	"24,445"	"26,486"	"23,275"	"20,788"	"24,216"
專科_女	103	"22,765"	"24,167"	"26,730"	"24,090"	"21,645"	"24,990"
專科_女	104	"23,631"	"24,694"	"26,827"	"25,035"	"22,915"	"25,504"
專科_女	105	"24,340"	"25,499"	"26,970"	"25,234"	"23,062"	"25,863"
專科_女	106	"24,835"	"25,908"	"27,422"	"25,659"	"23,704"	"25,857"
大學_女	102	"24,106"	"27,388"	"30,105"	"27,568"	"22,707"	"28,189"
大學_女	103	"24,539"	"26,852"	"30,454"	"27,423"	"23,588"	"28,720"
大學_女	104	"25,064"	"27,257"	"30,616"	"28,498"	"24,768"	"29,534"
大學_女	105	"26,282"	"28,480"	"31,015"	"28,862"	"24,371"	"29,306"
大學_女	106	"26,252"	"29,012"	"31,494"	"29,390"	"25,479"	"29,768"
研究所及以上_女	102	"27,384"	"31,967"	"34,960"	"33,739"	"25,843"	"32,796"
研究所及以上_女	103	"27,296"	"31,635"	"35,577"	"32,980"	"28,476"	"33,248"
研究所及以上_女	104	"28,302"	"32,072"	"35,794"	"35,546"	"28,813"	"33,858"
研究所及以上_女	105	"29,264"	"34,036"	"35,765"	"35,782"	"28,860"	"33,575"
研究所及以上_女	106	"29,272"	"33,802"	"36,477"	"35,421"	"28,861"	"33,982"
專科_男	102	"22,865"	"24,735"	"26,615"	"23,900"	"21,548"	"24,675"
專科_男	103	"23,190"	"24,544"	"26,990"	"24,786"	"22,585"	"25,290"
專科_男	104	"23,800"	"25,243"	"27,037"	"25,534"	"23,578"	"25,742"
專科_男	105	"24,595"	"25,715"	"27,101"	"25,805"	"23,975"	"26,232"
專科_男	106	"25,084"	"26,226"	"27,463"	"25,966"	"24,227"	"26,211"
大學_男	102	"24,191"	"27,664"	"30,225"	"28,498"	"23,390"	"28,837"
大學_男	103	"24,755"	"27,265"	"30,701"	"27,916"	"24,595"	"28,993"
大學_男	104	"25,274"	"27,704"	"30,961"	"29,112"	"25,683"	"29,800"
大學_男	105	"26,420"	"28,784"	"31,102"	"29,338"	"24,767"	"30,079"
大學_男	106	"26,548"	"29,383"	"31,703"	"29,912"	"26,109"	"30,025"
研究所及以上_男	102	"27,470"	"32,338"	"35,131"	"33,895"	"26,406"	"33,287"
研究所及以上_男	103	"27,330"	"31,882"	"35,859"	"33,346"	"28,826"	"33,410"
研究所及以上_男	104	"28,397"	"32,196"	"36,072"	"35,782"	"29,300"	"34,012"
研究所及以上_男	105	"29,264"	"34,522"	"36,072"	"36,611"	"28,860"	"33,822"
研究所及以上_男	106	"29,272"	"34,080"	"36,659"	"35,896"	"29,889"	"34,243"
